idno,cntry,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,anctry1,anctry2
68343,ME,3.0,3.0,3.0,1.5,5.0,5.0,Serbian nfs,No second ancestry* 
68381,ME,2.0,2.0,2.0,0.5999999999999996,7.0,7.0,Albanian nfs,Montenegrin nfs
68427,ME,2.0,2.0,2.0,2.4,3.0,3.0,Montenegrin nfs,No second ancestry* 
68446,ME,3.0,3.0,3.0,0.2999999999999998,10.0,9.0,Montenegrin nfs,Bosniak/Bosnian
68451,ME,1.0,2.0,4.0,0.0,10.0,7.0,Bosniak/Bosnian,Montenegrin nfs
68462,ME,2.0,2.0,2.0,0.5999999999999996,8.0,8.0,Bosniak/Bosnian,Muslim nfs
68513,ME,2.0,2.0,4.0,1.7999999999999998,8.0,6.0,Montenegrin nfs,Bosniak/Bosnian
68544,ME,3.0,3.0,2.0,1.5,3.0,3.0,Montenegrin nfs,No second ancestry* 
68585,ME,1.0,3.0,1.0,0.0,10.0,10.0,Serbian nfs,No second ancestry* 
68621,ME,2.0,2.0,3.0,2.1,2.0,4.0,Montenegrin nfs,No second ancestry* 
68677,ME,1.0,1.0,1.0,1.5,5.0,5.0,Bosniak/Bosnian,Montenegrin nfs
68704,ME,2.0,2.0,2.0,0.0,10.0,10.0,Muslim nfs,Montenegrin nfs
68752,ME,4.0,4.0,3.0,3.0,0.0,0.0,Serbian nfs,No second ancestry* 
68773,ME,3.0,3.0,3.0,2.7,0.0,1.0,Montenegrin nfs,No second ancestry* 
68778,ME,1.0,1.0,3.0,1.5,3.0,5.0,Serbian nfs,No second ancestry* 
68809,ME,3.0,3.0,3.0,3.0,5.0,0.0,Serbian nfs,No second ancestry* 
68888,ME,2.0,2.0,2.0,0.9000000000000004,5.0,6.0,Montenegrin nfs,No second ancestry* 
68893,ME,2.0,2.0,4.0,2.7,3.0,3.0,Montenegrin nfs,No second ancestry* 
68896,ME,4.0,3.0,4.0,2.7,1.0,0.0,Serbian nfs,Montenegrin nfs
68921,ME,4.0,4.0,4.0,2.7,2.0,2.0,Montenegrin nfs,No second ancestry* 
68946,ME,2.0,2.0,2.0,2.4,3.0,3.0,Muslim nfs,No second ancestry* 
69019,ME,2.0,4.0,2.0,3.0,0.0,1.0,Montenegrin nfs,No second ancestry* 
69020,ME,1.0,2.0,2.0,1.5,5.0,5.0,Montenegrin nfs,No second ancestry* 
69048,ME,2.0,2.0,2.0,1.5,5.0,4.0,Montenegrin nfs,No second ancestry* 
69147,ME,3.0,4.0,3.0,0.9000000000000004,7.0,7.0,Montenegrin nfs,No second ancestry* 
69187,ME,2.0,4.0,3.0,1.7999999999999998,6.0,7.0,Montenegrin nfs,No second ancestry* 
69193,ME,2.0,2.0,2.0,1.2000000000000002,5.0,5.0,Serbian nfs,No second ancestry* 
69241,ME,1.0,3.0,3.0,1.7999999999999998,6.0,5.0,Montenegrin nfs,No second ancestry* 
69242,ME,3.0,3.0,3.0,1.5,8.0,5.0,Serbian nfs,No second ancestry* 
69249,ME,2.0,3.0,2.0,0.9000000000000004,4.0,7.0,Muslim nfs,No second ancestry* 
69278,ME,4.0,3.0,3.0,2.1,1.0,2.0,Montenegrin nfs,No second ancestry* 
69334,ME,2.0,2.0,2.0,0.9000000000000004,7.0,7.0,Montenegrin nfs,No second ancestry* 
69350,ME,1.0,1.0,1.0,0.0,10.0,7.0,Montenegrin nfs,Serbian nfs
69365,ME,1.0,1.0,1.0,1.7999999999999998,5.0,3.0,Muslim nfs,Bosniak/Bosnian
69379,ME,2.0,2.0,2.0,2.4,2.0,2.0,Montenegrin nfs,No second ancestry* 
69433,ME,2.0,2.0,3.0,0.5999999999999996,4.0,4.0,Montenegrin nfs,Bosniak/Bosnian
